"Data [UTC]", "Czas [UTC]", "Czynność"
"1972-04-16", "17:54:00", "Start z Ziemi"
"1972-04-21", "02:23:35", "Lądowanie na Księżycu"
"1972-04-24", "01:25:47", "Start z Księżyca"
"1972-04-27", "19:45:05", "Lądowanie na Ziemi"
