"Mission","Launch","Duration","Crew","Notes"
"Voskhod 1","12 October 1964","1d 0h 17m 3s", "Vladimir Komarov, Konstantin Feoktistov, Boris Yegorov", "First multiman spacecraft"
"Voskhod 2","18 March 1965","1d 2h 2m 17s", "Pavel Belyayev, Alexey Leonov", "First spacewalk"
