"Data [UTC]", "Czas [UTC]", "Czynność"
"1969-11-14", "16:22:00", "Start z Ziemi"
"1969-11-19", "06:54:35", "Lądowanie na Księżycu"
"1969-11-20", "14:25:47", "Start z Księżyca"
"1969-11-24", "20:58:24", "Lądowanie na Ziemi"
