"Data [UTC]", "Czas [UTC]", "Czynność"
"1971-07-26", "13:34:00", "Start z Ziemi"
"1971-07-30", "22:16:29", "Lądowanie na Księżycu"
"1971-08-02", "17:11:23", "Start z Księżyca"
"1971-08-07", "20:45:53", "Lądowanie na Ziemi"
