"Data [UTC]", "Czas [UTC]", "Czynność"
"1971-01-31", "21:03:02", "Start z Ziemi"
"1972-02-05", "09:18:11", "Lądowanie na Księżycu"
"1972-02-06", "18:48:42", "Start z Księżyca"
"1972-02-09", "21:05:00", "Lądowanie na Ziemi"
