"Data [UTC]", "Czas [UTC]", "Czynność"
"1969-07-16", "13:32:00", "Start z Ziemi"
"1969-07-20", "20:17:40", "Lądowanie na Księżycu"
"1969-07-21", "17:54:00", "Start z Księżyca"
"1969-07-24", "16:50:35", "Lądowanie na Ziemi"
